./Archives of Biochemistry and Biophysics(all years)/21001-21500.txt	string index out of range
./human reproduction (1959-2013)/1959-1994/savedrecs (3).txt	'NoneType' object has no attribute '__getitem__'
./human reproduction (1959-2013)/1995-2005/savedrecs (11).txt	'NoneType' object has no attribute '__getitem__'
./human reproduction (1959-2013)/1995-2005/savedrecs (14).txt	'NoneType' object has no attribute '__getitem__'
./human reproduction (1959-2013)/1995-2005/savedrecs (17).txt	'NoneType' object has no attribute '__getitem__'
./human reproduction (1959-2013)/1995-2005/savedrecs (3).txt	'NoneType' object has no attribute '__getitem__'
./human reproduction (1959-2013)/2006-2013/savedrecs (1).txt	'NoneType' object has no attribute '__getitem__'
./human reproduction (1959-2013)/2006-2013/savedrecs (13).txt	'NoneType' object has no attribute '__getitem__'
./human reproduction (1959-2013)/2006-2013/savedrecs (4).txt	'NoneType' object has no attribute '__getitem__'
./human reproduction (1959-2013)/2006-2013/savedrecs (6).txt	'NoneType' object has no attribute '__getitem__'
./human reproduction (1959-2013)/2006-2013/savedrecs (9).txt	'NoneType' object has no attribute '__getitem__'
./nature (1959-2013)/2000-2004/savedrecs (2).txt	'NoneType' object has no attribute '__getitem__'
./nature (1959-2013)/2000-2004/savedrecs (20).txt	'NoneType' object has no attribute '__getitem__'
./nature (1959-2013)/2000-2004/savedrecs (3).txt	'NoneType' object has no attribute '__getitem__'
./nature (1959-2013)/2000-2004/savedrecs.txt	'NoneType' object has no attribute '__getitem__'
./nature (1959-2013)/2005-2009/savedrecs (11).txt	'NoneType' object has no attribute '__getitem__'
./nature (1959-2013)/2005-2009/savedrecs (13).txt	'NoneType' object has no attribute '__getitem__'
./nature (1959-2013)/2005-2009/savedrecs (16).txt	'NoneType' object has no attribute '__getitem__'
./nature (1959-2013)/2005-2009/savedrecs (22).txt	'NoneType' object has no attribute '__getitem__'
./New Biotechnology/1501-2000.txt	'NoneType' object has no attribute '__getitem__'
./New Biotechnology/501-1000.txt	'NoneType' object has no attribute '__getitem__'
./plos one (1955-2015)/35001-35500.txt	HTTPConnectionPool(host='diging.asu.edu', port=80): Max retries exceeded with url: /tethne/rest/instance_metadatum/ (Caused by NewConnectionError('<requests.packages.urllib3.connection.HTTPConnection object at 0x10bac6350>: Failed to establish a new connection: [Errno 60] Operation timed out',))
./plos one (1955-2015)/3501-4000.txt	HTTPConnectionPool(host='diging.asu.edu', port=80): Max retries exceeded with url: /tethne/rest/paper_instance/ (Caused by NewConnectionError('<requests.packages.urllib3.connection.HTTPConnection object at 0x10d219d10>: Failed to establish a new connection: [Errno 8] nodename nor servname provided, or not known',))
./plos one (1955-2015)/35501-36000.txt	HTTPConnectionPool(host='diging.asu.edu', port=80): Max retries exceeded with url: /tethne/rest/paper_instance/ (Caused by NewConnectionError('<requests.packages.urllib3.connection.HTTPConnection object at 0x10caf6250>: Failed to establish a new connection: [Errno 8] nodename nor servname provided, or not known',))
./plos one (1955-2015)/36001-36500.txt	HTTPConnectionPool(host='diging.asu.edu', port=80): Max retries exceeded with url: /tethne/rest/paper_instance/ (Caused by NewConnectionError('<requests.packages.urllib3.connection.HTTPConnection object at 0x10bea8910>: Failed to establish a new connection: [Errno 8] nodename nor servname provided, or not known',))
